113,HC,Special edition,61,English,2,232,"Seattle, USA",Fantagraphics,8 x 1.1 x 11.1 inches,2008-09-10,8.0,1.1,11.1,inches
114,SC,,61,English,2,80,"Seattle, USA",Fantagraphics,6.7 x 0.3 x 10.2 inches,2001-04-01,6.7,0.3,10.2,inches
116,HC,Library edition,63,English,2,288,"Milwaukee, USA",Dark Horse,9.3 x 1.2 x 12.1 inches,2008-05-20,9.3,1.2,12.1,inches
117,HC,,64,English,1,281,"Milwaukee, USA",Dark Horse,9.2 x 1.3 x 12.1 inches,2008-10-21,9.2,1.3,12.1,inches
118,SC,Reissue edition,65,English,1,238,"Montreal, Canada",Drawn and Quarterly,6.4 x 0.8 x 9.6 inches,2014-07-01,6.4,0.8,9.6,inches
119,HC,,66,English,1,208,"New York, USA",Vertigo,,2010-11-09,6.0,0.400000005960464,9.0,inches
120,SC,,66,English,1,208,"New York City, USA",Vertigo,6 x 0.4 x 9 inches,2011-08-30,6.0,0.4,9.0,inches
121,SC,2nd edition,67,English,1,185,"Montreal, Canada",Drawn and Quarterly,5.5 x 0.6 x 8.5 inches,2002-02-15,5.5,0.6,8.5,inches
122,HC,,67,English,1,187,"Montreal, Canada",Drawn and Quarterly,01.01.94,1994-01-01,,,,
124,SC,,69,English,2,256,"New York, USA",Marvel,6.8 x 0.5 x 10.2 inches,2011-09-28,6.8,0.5,10.2,inches
125,HC,,69,English,2,256,"New York City, USA",Marvel,7 x 0.8 x 10.5 inches,2010-07-28,7.0,0.8,10.5,inches
126,HC,,70,English,1,134,"New York, USA",Vertigo,7 x 0.5 x 10.5 inches,2004-05-01,7.0,0.5,10.5,inches
127,SC,,70,English,1,124,"New York City, USA",Vertigo,6.6 x 0.2 x 10.2 inches,2005-03-01,6.6,0.2,10.2,inches
128,SC,2nd edition,71,English,3,164,"Montreal, Canada",Drawn and Quarterly,6.1 x 0.7 x 8.9 inches,2003-07-01,6.1,0.7,8.9,inches
