179,Fábio ,Moon,1,Brazil,Brazil,,1976-06-05,Hispanic Origin,
180,John Salvatore  ,Romita ,1,USA,USA,,1956-08-17,White,"John Romita Jr.,  JRJR"
181,Steven,McNiven,1,Canada,Canada,,1967-01-01,White,Steve McNiven
182,Sheila  ,Alvarado,0,Peru,Peru,,1979-03-05,Hispanic Origin,
183,Christopher Edwin,Steininger,1,Canada,Germany,,,White,
184,Jill ,Thompson,0,USA,USA,,1966-11-20,White,
185,Tim  ,Sale,1,USA,USA,,1956-05-01,White,
186,Brian  ,Bolland,1,UK,UK,,1951-03-26,White,
187,Oscar ,Zárate,1,Argentina,Argentina,,1942-06-09,Hispanic Origin,
188,Sungyoon ,Choi,0,,USA,,,Asian,
189,Bryan  ,Hitch,1,UK,UK,,1970-04-22,White,
190,Brandon ,Peterson,1,USA,USA,,1969-11-14,White,
191,Carlos  ,Pacheco,1,Spain,Spain,,1962-11-14,White,
192,Doug  ,Braithwaite,1,UK,UK,,,African American,
193,Marguerite ,Van Cook ,0,UK,USA,,,White,
194,James  ,Romberger,1,USA,USA,,1958-01-01,White,
198,Richard ,Veitch,1,USA,USA,,1951-05-07,White,Rick 
200,Stephen R.  ,Bissette,1,USA,USA,,1955-03-14,White,Sturdy Steve
201,Mark  ,Buckingham ,1,UK,Spain,,1966-05-23,White,
202,James ,Jean,1,Taiwan,USA,,1979-01-01,Asian,
203,Michael William ,Kaluta,1,Guatemala,USA,,1947-08-25,White,"Mike Kaluta, Michael Wm. Kaluta"
204,Tara  ,McPherson,0,USA,USA,,1976-04-07,White,
205,Esao ,Andrews,1,USA,USA,,1978-05-22,Unknown,
206,Mark  ,Wheatley,1,USA,USA,,1954-05-27,White,
207,Peter ,Kuper,1,USA,USA,,1958-09-22,White,
209,Phoebe Louise Adams,Gloeckner,0,USA,USA,,1960-12-22,White,
210,David ,Small,1,USA,USA,,1945-02-12,White,
211,Darryl ,Cunningham,1,UK,UK,,1960-01-01,White,
212,Joseph  ,Remnant,1,USA,USA,,,White,
213,Malik,Sajad,1,India,India,,1987-01-01,Asian,
214,James ,Sturm,1,USA,USA,,1965-01-01,White,
215,Alex ,Robinson,1,USA,USA,,1969-08-08,White,
216,Brian Keller ,Vaughan ,1,USA,USA,,1976-07-17,White,
217,Niko  ,Henrichon,1,Canada,,,,White,
218,Vivek J. ,Tiwary ,1,USA,USA,,1973-05-15,Hispanic Origin,
219,Andrew Cornell,Robinson,1,USA,USA,,1968-01-01,White,
221,Joseph,Kelly,1,USA,Japan,,1972-09-24,Other Race,Joe Kelly
222,J. M. Ken ,Niimura,1,Spain,Spain,,1981-10-19,Hispanic Origin,
223,Scott,McLeod ,1,USA,USA,,1960-06-10,White,Scott McCloud
224,Rob,Davis,1,UK,UK,,,White,
225,Isabel  ,Greenberg,0,UK,UK,,,White,
226,Glyn  ,Dillon,1,UK,UK,,1971-01-01,White,
227,Woodrow  ,Phoenix,1,UK,UK,,,Black,
229,Stéphane  ,Heuet,1,France,France,,1957-01-01,White,
230,Nick,Drnaso,1,USA,USA,,1989-01-01,White,
231,Richard  ,McGuire,1,USA,UK,,1957-01-01,White,
232,Julie,Maroh,0,France,France,,1985-01-01,White,
233,Vincent  ,Mahé,1,France,France,,,White,
234,Meags ,Fitzgerald,0,Canada,Canada,,,White,
235,Joshua W.,Cotter,1,,,,,White,
236,Liz ,Suburbia,0,USA,USA,,,White,
237,Sophie,Goldstein,0,USA,USA,,,White,
238,Anders,Nilsen,1,USA,USA,,1973-01-01,White,
239,Debbie ,Drechsler,0,USA,USA,,1953-01-01,White,
240,John  ,Wagner,1,USA,USA,,1949-01-01,White,
241,Vincent  ,Locke,1,USA,USA,,,White,Vince Locke
242,Boleslav William Felix Robert,Sienkiewicz,1,USA,USA,,1958-05-03,White,Bill Sienkiewicz
243,Jeffrey  ,Brown,1,USA,USA,,1975-07-01,White,
244,Jessica ,Abel,0,USA,USA,,1969-01-01,White,
246,Miriam ,Katin,0,Hungary,Israel,,1942-01-01,White,
247,Marguerite  ,Abouet,0,Republic of Côte d'Ivoire ,France,,1971-01-01,African American,
248,Clément ,Oubrerie,1,France,France,,1966-01-01,White,
249,Nikolai ,Maslov,1,Russia,,,,White,
250,Frederik ,Peeters,1,Switzerland,Switzerland,,1974-08-13,White,
252,Taiyō  ,Matsumoto,1,Japan,Japan,,1967-10-25,Asian,
253,Glenn ,Barr,1,USA,USA,,,White,
256,Gabrielle ,Bell,0,UK,USA,,1976-03-24,White,
257,Vera  ,Brosgol,0,Russia,USA,,1984-08-01,White,
258,Vanessa ,Davis,0,USA,USA,,1978-10-14,White,
260,Camilla ,d'Errico,0,Canada,Canada,,1980-09-30,White,
262,Joyce  ,Farmer,0,USA,USA,,1938-01-01,White,
263,Lucy  ,Knisley,0,USA,USA,,1985-01-11,White,
264,Aline  ,Kominsky-Crumb,0,USA,USA,,1948-08-01,White,
265,Sarah,Leavitt ,0,,Canada,,,White,
266,Kate  ,Leth,0,Canada,USA,,1988-09-29,White,
267,Brittney L.,Williams,0,,,,1989-10-10,African American,
271,Gail  ,Simone,0,USA,USA,,1974-07-29,White,
272,Jim  ,Calafiore,1,USA,USA,,,Unknown,
276,Roger  ,Stern,1,USA,USA,,1950-09-17,White,
281,Judith  ,Vanistendael,0,Belgium,Belgium,,1974-01-01,White,
282,Zeina  ,Abirached,0,Lebanese Republic,France,,1981-01-01,Asian,
284,Una,Una,0,UK,UK,,,White,
285,James Oliver ,Rigney Jr.,1,USA,USA,2007-09-16,1948-10-17,White,Robert Jordan
286,Charles ,Dixon,1,USA,USA,,1954-04-14,White,Chuck Dixon
287,Harvey Montecillo ,Tolibao,1,Philippines,Philippines,,1981-06-25,Asian,
288,Ann ,Nocenti,0,USA,USA,,1957-01-17,White,
289,Lou ,Mougin,1,USA,USA,,1954-01-01,White,
290,Bret ,Blevins,1,USA,USA,,1960-08-13,White,
291,Richard,Howell,1,USA,USA,,1955-11-16,White,
292,Steve  ,Leialoha,1,USA,USA,,1952-12-27,White,
293,Mark,Badger,1,USA,USA,,,White,
295,Ian  ,Edginton,1,UK,UK,,,White,
296,Ian ,Culbard,1,UK,UK,,,White,I. N. J. Culbard
297,Jordan ,Mechner,1,USA,USA,,1964-06-04,White,
298,A. B.,Sina,,,,,,Unknown,
299,LeUyen  ,Pham,0,Vietnam,USA,,,Asian,
300,Alex ,Puvilland,1,France,USA,,,White,
301,Samuel Joseph,Glanzman,1,USA,USA,2017-07-12,1924-12-05,White,
303,Tommy,Patterson,1,USA,USA,,,White,
304,Daniel James,Abraham,1,USA,USA,,1969-11-14,White,"M. L. N. Hanover, James S. A. Corey"
305,Paul,Karasik,1,USA,USA,,1956-01-01,White,
306,Larry ,Gonick,1,USA,USA,,1946-08-24,White,
307,David ,Lapham,1,USA,USA,,1970-01-01,White,
308,Donald Edwin ,Westlake ,1,USA,USA,2008-12-31,1933-07-12,White,
309,Kurt ,Busiek,1,USA,USA,,1960-09-16,White,
310,Noelle,Stevenson,0,USA,USA,,1991-12-31,White,
311,Jason ,Shiga,1,USA,USA,,1976-01-01,Asian,
314,Terry ,Beatty,1,USA,USA,,1958-01-11,White,
315,Emil  ,Ferris,0,USA,USA,,1962-01-01,White,
316,Erica ,Sakurazawa,0,Japan,Japan,,1963-07-08,Asian,
333,Todd,Klein,1,USA,USA,,1951-01-28,White,
334,Bill ,Tortolini,1,USA,,,,White,
335,Marshall ,Dillon,1,USA,USA,,,White,
336,Paul ,Neary,1,UK,UK,,1958-06-01,White,
337,Roger,Bonet,1,,,,,,
338,Cory,Petit,1,,,,,White,VC's Cory Petit
339,Bob,Lappan,1,USA,,,1951-04-01,,
340,Richard ,Starkings,1,UK,USA,,1962-01-27,White,
341,Jason ,Arthur,1,,,,,White,
342,Chris ,Studabaker,1,,,,,,
343,Travis ,Lanham,1,,USA,,,,
344,Dexter ,Vines,1,USA,USA,,1971-12-17,African American,
345,Mark ,Morales,1,,USA,,,African American,
346,John  ,Dell,1,USA,USA,,1965-01-01,White,
347, Tim ,Townsend,1,USA,USA,,,White,
348,Chris  ,Eliopoulos,1,USA,USA,,1967-09-30,White,
349,Joe  ,Rosen,1,USA,USA,2009-10-12,1920-12-25,White,
350,Alfonso ,Williamson,1,USA,USA,2010-06-12,1931-03-21,White,Al Williamson
351,Sean ,Konot,1,,,,,,
352,Jared K. ,Fletcher ,1,USA,USA,,,White,
353,Joe ,Sabino,1,,USA,,,White,
354,James R. ,Novak,1,USA,,,,White,Jim Novak
355,Tom ,Orzechowski,1,USA,USA,,1953-03-01,White,Aliases
356,Patrick,Brosseau,1,USA,USA,,,White,Pat Brosseau
357,Lucia ,Truccone,0,Italy,Italy,,,,
359,Clem ,Robins,1,USA,USA,,1955-01-01,White,
361,Stephen,Dutro,1,,,,,White,Steve Dutro
363,Terry Kevin ,Austin,1,USA,USA,,1952-08-23,White,Terry Austin
365,David,Sharpe,1,USA,USA,,,White,Dave Sharpe
366,Dimitris ,Karatzaferis,1,,,,,White,
367,Thodoris ,Paraskevas,1,,,,,White,
368,Anne ,Bardy,0,,,,,,
369,Al,Davison,1,England,,,,White,
370,Paul,Baresh,1,,,,,,
371,Carrie ,Whitney,,,,,,,
372,Dan,Dean,,,,,,,
373,Dave ,Lanphear,1,,,,,White,
374,Dirk ,Rehm,1,,,,,White,
375,John ,Costanza,1,USA,USA,,1943-08-14,White,
376,Ken ,Lopez,1,USA,USA,,,,
377,Terry ,Pallot,1,Canada,Canada,,,White,
378,Andy ,Belanger,1,,,,,,
379,Nick,Graine,1,,,,,,
380,Walden ,Wong,1,USA,USA,,,Asian,
381,Cameron ,Stewart,1,Canada,Canada,,,White,
382,Deron,Bennett,1,USA,USA,,1979-11-04,African American,
383,Cynthia ,Bergst,0,,,,,,
384,Josef ,Rubinstein,1,Germany,USA,,1958-06-04,White,Joe Rubinstein
385,Tom ,Christopher,1,USA,USA,,,White,
386,Bruce N. ,Solotoff,1,USA,USA,,1954-08-18,White,
387,Jack  ,Morelli,1,USA,USA,,1962-10-26,White,"John Morelli, Jack Morelli"
388,Vincente ,Colletta,1,Italy,USA,1991-06-03,1923-10-15,White,Vince Colletta
389,Gaspar ,Saladino,1,USA,USA,2016-08-04,1927-09-01,White,
390,Diana ,Albers,0,,,,,,
391,Rob ,Caswell,1,USA,USA,,,White,
395,Farel ,Dalrymple,1,USA,USA,,1972-01-01,White,
396,Jonathan Allen  ,Lethem,1,USA,USA,,1964-02-19,White,Harry Conklin
397,Karl ,Rusnak,1,,,,,,
398,Ed ,Brubaker,1,USA,USA,,1966-11-17,White,
399,Michael ,Lark,1,USA,USA,,,White,
400,Sean ,Phillips,1,UK,UK,,1965-01-27,White,
401,Gary,Fields,1,USA,USA,,,White,
402,Rick ,Magyar,1,,,,,,
404,Dan ,Jurgens,1,USA,,,1959-06-27,White,
405,Jeremiah ,Ordway,1,USA,USA,,1957-11-28,White,Jerry Ordway
406,Mary Louise Alexander ,Simonson,0,USA,USA,,1946-09-26,White,Louise Simonson
407,Brett ,Breeding,1,USA,USA,,1961-06-13,Unknown,
408,Rick ,Burchett,1,USA,USA,,1952-03-09,White,
409,Doug ,Hazlewood,1,USA,USA,,1954-09-20,White,
410,Dennis ,Janke,1,USA,USA,,1950-05-13,White,
411,Denis ,Rodier,1,,Canada,,,White,
412,Albert T.,DeGuzman,1,Philippines,,,,Unknown,Albie DeGuzman
413,William Douglas ,Oakley,1,USA,USA,2004-02-16,1964-04-01,White,Bill Oakley
414,Willie,Schubert,1,,,,1952-03-19,White,
